customer_id,tenure,monthly_charges,total_charges,contract_type,payment_method,paperless_billing,gender,senior_citizen,partner,dependents,phone_service,multiple_lines,internet_service,online_security,online_backup,device_protection,tech_support,streaming_tv,streaming_movies,unlimited_data,churn
60,44,92.14891731316725,1634.4703882525278,Month-to-month,Electronic check,No,Male,1,Yes,Yes,No,Yes,Fiber optic,No internet service,No internet service,No internet service,No,Yes,No,No,1
61,34,20.592821533687815,4798.985694661143,Month-to-month,Mailed check,Yes,Female,0,Yes,Yes,No,No phone service,Fiber optic,No,No internet service,No,No,No,No internet service,Yes,0
62,62,79.24407553984594,6067.565810713647,Two year,Mailed check,No,Male,1,No,Yes,No,No phone service,Fiber optic,No internet service,No internet service,No internet service,Yes,Yes,No internet service,No internet service,0
63,14,104.74061349292366,1193.3995226495174,Month-to-month,Electronic check,Yes,Female,0,No,Yes,Yes,No phone service,No,Yes,No,Yes,No internet service,No internet service,No internet service,No,1
64,48,55.68998871747549,6553.56300974722,Month-to-month,Mailed check,No,Female,0,No,Yes,No,No phone service,Fiber optic,No internet service,Yes,No internet service,No,No internet service,No internet service,No internet service,0
65,15,30.828935648291683,4487.598213928537,Two year,Bank transfer,No,Male,1,Yes,No,No,No phone service,Fiber optic,Yes,No,Yes,No,No internet service,Yes,No,0
66,72,62.087724974320615,133.77409713337227,One year,Bank transfer,Yes,Female,1,No,No,No,Yes,Fiber optic,No internet service,No,Yes,No internet service,No,No internet service,No internet service,0
67,62,92.7104449058507,4206.250042070018,Two year,Bank transfer,No,Female,0,No,No,Yes,No,No,No internet service,No internet service,Yes,Yes,Yes,Yes,No internet service,0
68,40,30.730121037067253,3225.804787880954,Two year,Mailed check,Yes,Male,1,No,No,Yes,Yes,DSL,No,No,Yes,No,No,No internet service,No,0
69,53,40.604856021288995,2441.9274391909016,Month-to-month,Mailed check,Yes,Female,1,Yes,Yes,Yes,No phone service,No,No internet service,No internet service,Yes,No internet service,Yes,No,Yes,0
70,24,34.755184682869995,6192.932037351215,Two year,Bank transfer,No,Female,1,No,Yes,No,No phone service,No,No,Yes,No internet service,Yes,No internet service,Yes,Yes,0
71,26,99.69477555752249,7206.049080904922,Two year,Electronic check,No,Female,1,No,Yes,No,No,No,No internet service,Yes,No,No internet service,No internet service,Yes,Yes,1
72,60,26.289262245248683,6124.959405826371,Two year,Bank transfer,No,Male,0,No,Yes,Yes,No phone service,Fiber optic,Yes,No internet service,No internet service,No internet service,Yes,No internet service,No,0
73,41,88.6586502114433,6789.503394567899,Month-to-month,Mailed check,Yes,Male,0,Yes,No,No,Yes,DSL,No internet service,Yes,No internet service,No internet service,Yes,Yes,No,0
74,29,56.64569207531913,7279.3694513682685,Two year,Credit card,No,Male,1,Yes,No,Yes,No phone service,Fiber optic,No,No,No,Yes,Yes,Yes,No internet service,0
75,15,95.57912428853022,7309.771559874174,Month-to-month,Bank transfer,Yes,Male,1,No,No,Yes,No phone service,DSL,No,No,No internet service,Yes,Yes,Yes,No,1
76,45,116.43834187840376,1005.6413296743839,Two year,Bank transfer,No,Female,0,No,Yes,Yes,No,DSL,No internet service,No internet service,No,No internet service,No internet service,Yes,No internet service,0
77,65,31.45452995864823,3705.4453622085757,Month-to-month,Mailed check,No,Female,1,Yes,Yes,Yes,No phone service,No,Yes,Yes,Yes,Yes,Yes,No internet service,No internet service,0
78,71,51.438504106745846,102.26314770399134,Month-to-month,Mailed check,Yes,Female,1,No,No,No,Yes,No,No internet service,No,No internet service,No internet service,Yes,No,Yes,0
79,9,101.0125427718857,4101.054419159013,Two year,Mailed check,No,Female,1,No,No,Yes,No phone service,No,No,No,Yes,Yes,No internet service,No,No internet service,0
80,1,46.615838605117645,7401.527081315948,One year,Mailed check,No,Male,0,Yes,Yes,No,Yes,DSL,No internet service,Yes,Yes,No internet service,No internet service,No internet service,No,1
81,8,41.51205970460409,1672.9080941455697,Two year,Bank transfer,Yes,Female,1,Yes,Yes,No,No phone service,DSL,No,No,No,No,No internet service,Yes,Yes,0
82,63,102.53779778689717,5154.314367255979,One year,Mailed check,No,Female,0,No,No,Yes,Yes,No,No internet service,Yes,No internet service,No internet service,No internet service,Yes,No,0
83,11,118.70823640059703,5190.59446670136,Month-to-month,Credit card,Yes,Male,0,Yes,No,No,No phone service,No,No,No,Yes,Yes,Yes,No internet service,No,1
84,8,75.68805901479658,1366.7964790334063,One year,Electronic check,No,Male,1,No,Yes,No,No,No,No internet service,Yes,Yes,No,No,No internet service,Yes,0
85,35,47.804874833333926,1984.3667706079368,One year,Mailed check,No,Female,0,Yes,No,No,Yes,DSL,No internet service,No internet service,Yes,No,No internet service,No internet service,Yes,0
86,35,59.856596160005395,3749.9720932859045,Month-to-month,Mailed check,No,Female,0,Yes,Yes,No,No phone service,DSL,No internet service,No,No,No internet service,Yes,Yes,No,0
87,33,37.0130327383609,1586.854073989329,One year,Bank transfer,No,Female,1,No,No,No,Yes,No,Yes,No,No,No,No,No internet service,No,0
88,5,96.18872788907525,4721.452430343622,Two year,Electronic check,Yes,Female,0,Yes,No,Yes,No phone service,DSL,No,Yes,Yes,No,Yes,No,No,0
89,41,97.34740178227679,3927.8796750759257,One year,Electronic check,Yes,Male,0,Yes,Yes,No,No,DSL,Yes,No internet service,No internet service,No internet service,No,No internet service,No,0
90,28,107.51209923824945,4201.665610247748,Month-to-month,Electronic check,No,Male,1,No,No,Yes,No,Fiber optic,Yes,No,No,No,No internet service,No internet service,No internet service,1
91,7,22.660256359656387,1162.2936672823862,One year,Mailed check,Yes,Female,0,No,No,No,No,No,Yes,Yes,Yes,No internet service,Yes,No internet service,No,0
92,72,76.19813416263793,4186.289420965283,Month-to-month,Bank transfer,No,Male,1,No,Yes,No,Yes,Fiber optic,No internet service,No internet service,Yes,No,No internet service,Yes,Yes,0
93,12,41.42554343431844,490.87770932770053,Month-to-month,Bank transfer,Yes,Female,0,No,Yes,Yes,No,No,No,Yes,No,Yes,Yes,Yes,Yes,0
94,34,54.08830154923571,7064.128854292285,Two year,Mailed check,No,Female,1,Yes,No,No,Yes,DSL,No,Yes,Yes,No internet service,No,Yes,No,0
95,33,98.49556152865075,2811.67255736418,Month-to-month,Electronic check,Yes,Female,1,No,Yes,Yes,Yes,DSL,Yes,No internet service,No internet service,Yes,No internet service,No,Yes,1
96,48,39.203365236149615,6865.0648662020885,One year,Electronic check,Yes,Female,0,No,No,No,No,DSL,Yes,Yes,No,Yes,No internet service,No internet service,Yes,0
97,23,83.83417505810897,5643.085313084266,Two year,Bank transfer,Yes,Male,0,Yes,No,Yes,Yes,No,Yes,No,No,No internet service,No,No internet service,No internet service,0
98,62,85.45661912235981,6152.76345544773,Two year,Credit card,Yes,Female,1,No,Yes,No,Yes,DSL,Yes,No,No internet service,No,No,No,No internet service,0
99,37,115.40939149023006,2584.9015068574895,One year,Mailed check,No,Male,1,Yes,No,Yes,Yes,DSL,No,No internet service,Yes,No internet service,Yes,No,Yes,0
100,44,97.5160928528937,1899.1771246890357,One year,Credit card,Yes,Female,1,Yes,No,Yes,Yes,DSL,Yes,No,No,No,No,No internet service,Yes,0
101,35,100.36351471536935,3313.2503753448073,Two year,Credit card,Yes,Male,1,Yes,Yes,Yes,No,Fiber optic,No internet service,No internet service,No internet service,No internet service,No,No,No internet service,0
102,65,73.16007490178934,291.38431306111477,Month-to-month,Electronic check,Yes,Female,0,Yes,No,Yes,Yes,DSL,Yes,Yes,No internet service,No internet service,Yes,Yes,Yes,1
103,47,38.67808071623706,7358.169847259961,Two year,Credit card,Yes,Male,0,No,Yes,Yes,No,Fiber optic,No,No internet service,Yes,Yes,No internet service,Yes,No,0
104,3,62.55633657183516,3157.412701132384,Two year,Mailed check,Yes,Female,0,Yes,No,Yes,No,DSL,No internet service,No,No,No internet service,Yes,No internet service,No,0
105,1,74.94895735118203,7909.597178264164,Two year,Bank transfer,Yes,Female,0,No,Yes,No,Yes,DSL,No,No,No,Yes,No internet service,No internet service,No,0
106,5,87.84192517137123,6115.450424378561,Month-to-month,Mailed check,Yes,Female,1,No,No,No,Yes,DSL,No internet service,No internet service,No internet service,Yes,No,Yes,No internet service,1
107,14,80.77091118319272,736.0685774145528,One year,Mailed check,No,Male,0,Yes,No,Yes,No,No,Yes,No,No internet service,Yes,Yes,No internet service,Yes,0
108,27,59.397782891724354,5315.48739495635,One year,Mailed check,No,Male,1,Yes,Yes,Yes,No,DSL,No internet service,No internet service,No,Yes,Yes,No,Yes,0
109,9,46.53131069958414,2239.6294022198454,One year,Mailed check,No,Male,0,No,Yes,No,No,DSL,No,No,Yes,No internet service,Yes,No internet service,No,0
110,15,36.82308432036831,2025.377300092903,Month-to-month,Credit card,Yes,Female,0,Yes,No,No,Yes,Fiber optic,No internet service,No internet service,Yes,Yes,No,No,Yes,0
111,42,89.38453862722663,2126.8450922353813,Month-to-month,Electronic check,Yes,Female,0,Yes,Yes,No,Yes,DSL,No internet service,No,Yes,No,No,Yes,No,0
112,51,84.5398674312485,7336.992884673254,One year,Bank transfer,No,Male,1,No,Yes,Yes,No phone service,No,No internet service,No,No internet service,No,No,No,No,0
113,63,88.73724657578066,4049.8433909638616,One year,Electronic check,No,Female,0,Yes,Yes,Yes,Yes,DSL,No,No internet service,No internet service,Yes,No,Yes,No,0
114,52,57.252745280279484,5388.820100611686,One year,Credit card,No,Female,0,No,Yes,Yes,Yes,No,No internet service,No,Yes,No,Yes,No,Yes,0
115,4,46.2407822570745,2319.487823817635,One year,Electronic check,Yes,Male,0,Yes,No,No,No,Fiber optic,No internet service,No,No,No,No internet service,No,No,0
116,23,95.97213286809253,4231.340195962433,Month-to-month,Electronic check,No,Male,0,Yes,Yes,Yes,Yes,Fiber optic,Yes,Yes,No internet service,No,No internet service,No internet service,No internet service,1
117,15,97.36473950553341,2865.7910918683992,One year,Credit card,No,Female,1,No,No,Yes,No phone service,No,No internet service,Yes,No internet service,Yes,No internet service,No,No internet service,0
118,43,65.56163739668406,2636.9984191315657,Two year,Electronic check,Yes,Male,1,Yes,Yes,Yes,No,No,Yes,Yes,No,No,Yes,Yes,No internet service,0
119,29,81.19040847673242,2051.0538989646766,One year,Bank transfer,No,Female,0,No,Yes,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,0
120,36,57.35196642317412,3331.1544980978642,Month-to-month,Credit card,No,Female,1,Yes,Yes,No,Yes,No,No,No internet service,No internet service,No internet service,No,Yes,Yes,0
121,13,90.19472001198068,5314.237873977181,Two year,Bank transfer,Yes,Female,1,No,No,No,No phone service,No,No internet service,No,Yes,No,Yes,No,Yes,0
122,32,103.57215966478712,1854.145830930161,Two year,Electronic check,Yes,Male,1,Yes,Yes,Yes,Yes,No,No internet service,No,Yes,No internet service,No internet service,No internet service,No,0
123,71,88.82332773356494,7727.007496331066,Two year,Mailed check,No,Female,0,No,No,No,No,DSL,Yes,Yes,No,No internet service,Yes,No internet service,No,0
124,59,71.25826268471366,1084.4322440629667,Month-to-month,Mailed check,No,Male,0,No,Yes,No,No phone service,No,No,No,Yes,No internet service,No internet service,Yes,No,0
125,28,65.86579594923703,3893.636940999347,One year,Credit card,No,Male,1,Yes,Yes,Yes,Yes,DSL,Yes,No internet service,No internet service,Yes,Yes,No internet service,Yes,0
126,66,84.23196509757443,771.7229092072603,Month-to-month,Mailed check,No,Male,1,No,Yes,No,No,Fiber optic,Yes,No internet service,Yes,Yes,No,No internet service,No internet service,0
127,42,87.98108916013302,279.05603644517885,Month-to-month,Mailed check,Yes,Female,0,No,Yes,Yes,No,No,No,No,Yes,No,No internet service,No,No internet service,0
128,45,75.8729443524539,7389.150825617071,Two year,Mailed check,Yes,Male,0,Yes,Yes,Yes,No,Fiber optic,No,No,No internet service,No internet service,Yes,No internet service,No internet service,0
129,62,82.4942275107395,6502.03987221001,Two year,Credit card,Yes,Female,1,Yes,No,Yes,Yes,DSL,No internet service,No internet service,No internet service,No internet service,No,Yes,No,0
130,57,29.65886824945322,5583.8274476919105,Month-to-month,Bank transfer,Yes,Female,1,No,Yes,Yes,No,No,Yes,No,No internet service,Yes,No,No internet service,Yes,0
131,6,115.17655161423268,6935.007423884564,Two year,Mailed check,Yes,Male,1,No,No,No,Yes,DSL,Yes,No internet service,Yes,Yes,No,No,Yes,0
132,28,99.0773063732034,6442.502541460855,Month-to-month,Credit card,Yes,Male,0,No,Yes,Yes,No phone service,No,No,Yes,Yes,No,Yes,No internet service,No internet service,0
133,28,57.39278697067838,5213.177995792498,Two year,Bank transfer,No,Male,0,Yes,Yes,No,Yes,No,No internet service,No internet service,Yes,No,Yes,Yes,No internet service,0
134,44,76.28126109536299,6794.0043735701165,One year,Credit card,No,Female,1,Yes,Yes,No,Yes,No,No,No internet service,No,No,No,No,No internet service,0
135,30,24.732453013642136,3187.3243723348314,One year,Mailed check,No,Female,1,No,Yes,No,Yes,No,No internet service,No,Yes,No,Yes,No internet service,No internet service,0
136,62,24.12278139990604,4466.739482557497,One year,Mailed check,Yes,Male,1,Yes,Yes,Yes,No phone service,DSL,No internet service,Yes,No,Yes,No,No,No,0
137,62,45.07983351119627,6232.8541585313005,Two year,Electronic check,No,Female,0,No,Yes,Yes,Yes,DSL,No internet service,No internet service,No internet service,Yes,No internet service,Yes,No,0
138,1,88.97016423646232,769.9043283461384,Two year,Electronic check,Yes,Male,0,Yes,No,Yes,No phone service,Fiber optic,Yes,Yes,No internet service,No internet service,No,No,Yes,1
139,27,105.21477478000116,6883.2991905836225,One year,Electronic check,Yes,Female,1,Yes,Yes,No,No phone service,No,No,Yes,No,Yes,Yes,No,Yes,0
140,62,75.91858799798484,1338.9606000031797,Month-to-month,Bank transfer,Yes,Female,0,No,Yes,Yes,No phone service,Fiber optic,No internet service,No,No internet service,Yes,Yes,No,Yes,0
141,3,73.21327395823525,6929.875897890559,Month-to-month,Credit card,Yes,Male,0,Yes,No,Yes,No phone service,Fiber optic,No,No internet service,No internet service,No internet service,No internet service,No,Yes,1
142,70,60.2309533791466,2559.5296859001232,One year,Bank transfer,Yes,Male,0,Yes,Yes,Yes,No,Fiber optic,No internet service,Yes,No,No internet service,Yes,Yes,No internet service,0
143,72,36.159795595802116,2681.584483156826,Two year,Electronic check,No,Female,0,Yes,Yes,No,No phone service,DSL,Yes,Yes,No,No internet service,Yes,No,No,0
144,27,31.83541013265875,684.1946499706401,Month-to-month,Electronic check,Yes,Female,1,No,Yes,Yes,No,Fiber optic,No,No internet service,Yes,No internet service,No,Yes,No internet service,0
145,9,96.06797612209661,7098.607028776421,Month-to-month,Mailed check,No,Male,0,Yes,No,No,No phone service,No,Yes,No internet service,Yes,Yes,No,No,No internet service,1
146,62,112.75035512965756,1478.6321788878695,Month-to-month,Bank transfer,Yes,Female,1,No,Yes,Yes,No phone service,No,No internet service,No internet service,No,No internet service,Yes,No internet service,Yes,1
147,37,65.82832163862732,5077.3942260924205,Two year,Mailed check,No,Male,1,Yes,Yes,Yes,No,No,Yes,No internet service,No,No internet service,No,No internet service,No,0
148,51,85.94456587156382,5187.344034102826,Month-to-month,Mailed check,No,Male,1,No,No,No,No,Fiber optic,Yes,Yes,No,No internet service,No,No internet service,No,0
149,44,111.44576508809412,2321.096876975703,Month-to-month,Credit card,No,Female,0,Yes,No,No,Yes,Fiber optic,No,Yes,No,Yes,No internet service,Yes,No,1
150,24,29.011363293414455,7886.721563908754,One year,Electronic check,No,Male,0,Yes,Yes,Yes,No,Fiber optic,No internet service,No,No,No internet service,Yes,No,No internet service,0
151,59,97.04814531190299,606.9131230775708,Two year,Mailed check,No,Male,1,Yes,No,No,No,No,No internet service,No internet service,Yes,No,Yes,Yes,No internet service,0
152,32,81.68168843755751,4902.188886832995,One year,Mailed check,Yes,Male,1,No,No,No,No,DSL,Yes,Yes,No,No internet service,No internet service,Yes,Yes,0
153,52,79.86371788298614,3888.397026911794,Month-to-month,Electronic check,No,Male,1,Yes,No,Yes,Yes,Fiber optic,No,Yes,No internet service,Yes,No,No,No,0
154,62,49.254042848156985,2039.3244464634697,Two year,Electronic check,Yes,Male,1,No,Yes,No,Yes,DSL,No,No internet service,Yes,No internet service,Yes,No internet service,No internet service,0
155,58,88.38933547776769,1392.0585194512769,Two year,Credit card,No,Male,0,No,Yes,No,No phone service,Fiber optic,No,No internet service,No internet service,No internet service,No internet service,No internet service,No,0
156,52,99.47977548207766,5922.9664294559925,One year,Credit card,Yes,Female,0,No,Yes,No,No phone service,DSL,Yes,No,Yes,No internet service,No internet service,No internet service,No,0
157,12,31.285816494369715,7338.8875084013725,One year,Mailed check,Yes,Male,0,Yes,Yes,Yes,Yes,No,No internet service,Yes,No internet service,No internet service,Yes,No internet service,No,0
158,39,73.35214309809838,949.6154694423069,Two year,Mailed check,Yes,Male,0,Yes,Yes,Yes,No,No,No internet service,Yes,No internet service,Yes,No,No,No,0
159,2,30.126518098740966,1632.4436756374432,Two year,Mailed check,No,Male,1,Yes,No,Yes,Yes,Fiber optic,No,Yes,No,Yes,No,No,No internet service,0
160,3,107.25740192976446,7891.5310036349665,One year,Bank transfer,Yes,Female,0,Yes,No,Yes,Yes,Fiber optic,No,Yes,No,No internet service,Yes,No internet service,No internet service,1
161,56,70.76367226563474,218.67912647920951,Month-to-month,Credit card,No,Male,1,No,Yes,Yes,Yes,No,No,No,Yes,No internet service,No,Yes,No internet service,0
162,59,100.79656892607574,4115.190560258094,Two year,Mailed check,Yes,Female,0,No,No,Yes,Yes,DSL,Yes,No internet service,Yes,Yes,No internet service,No,No,0
163,2,56.808563766621425,4177.291515646333,Month-to-month,Electronic check,No,Male,0,Yes,Yes,Yes,Yes,DSL,No,No internet service,No,No,No internet service,Yes,No,1
164,2,32.50782268163254,2178.9760486516134,One year,Credit card,Yes,Male,1,No,No,Yes,No phone service,No,No internet service,No internet service,No internet service,No internet service,Yes,No,No internet service,0
